p,boost,half_width,l_adv_km,score,rmse
2.0,5.0,45.0,100.0,-1.3822710756531291,1.3822710756531291
2.0,5.0,60.0,20.0,-1.364421964645441,1.364421964645441
2.0,5.0,60.0,50.0,-1.3809598154176963,1.3809598154176963
2.0,5.0,60.0,100.0,-1.3880538936890068,1.3880538936890068
2.0,5.0,90.0,20.0,-1.3764532425993072,1.3764532425993072
2.0,5.0,90.0,50.0,-1.3880275781733349,1.3880275781733349
2.0,5.0,90.0,100.0,-1.3935685136391196,1.3935685136391196
2.0,8.0,30.0,20.0,-1.3735463985587737,1.3735463985587737
2.0,8.0,30.0,50.0,-1.39746984154114,1.39746984154114
2.0,8.0,30.0,100.0,-1.4074202682563315,1.4074202682563315
2.0,8.0,45.0,20.0,-1.3896432970414159,1.3896432970414159
2.0,8.0,45.0,50.0,-1.4161168389729468,1.4161168389729468
2.0,8.0,45.0,100.0,-1.4262621709188745,1.4262621709188745
2.0,8.0,60.0,20.0,-1.3997112906539917,1.3997112906539917
2.0,8.0,60.0,50.0,-1.422889028658323,1.422889028658323
2.0,8.0,60.0,100.0,-1.431520946175152,1.431520946175152
2.0,8.0,90.0,20.0,-1.4035225546132677,1.4035225546132677
2.0,8.0,90.0,50.0,-1.41813718770954,1.41813718770954
2.0,8.0,90.0,100.0,-1.4243833809943645,1.4243833809943645
2.5,1.0,30.0,20.0,-1.3480741706801667,1.3480741706801667
2.5,1.0,30.0,50.0,-1.344191827304867,1.344191827304867
2.5,1.0,30.0,100.0,-1.3445936171508108,1.3445936171508108
2.5,1.0,45.0,20.0,-1.3480741706801667,1.3480741706801667
2.5,1.0,45.0,50.0,-1.344191827304867,1.344191827304867
2.5,1.0,45.0,100.0,-1.3445936171508108,1.3445936171508108
2.5,1.0,60.0,20.0,-1.3480741706801667,1.3480741706801667
2.5,1.0,60.0,50.0,-1.344191827304867,1.344191827304867
2.5,1.0,60.0,100.0,-1.3445936171508108,1.3445936171508108
2.5,1.0,90.0,20.0,-1.3480741706801667,1.3480741706801667
2.5,1.0,90.0,50.0,-1.344191827304867,1.344191827304867
2.5,1.0,90.0,100.0,-1.3445936171508108,1.3445936171508108
2.5,2.0,30.0,20.0,-1.3415088371181434,1.3415088371181434
2.5,2.0,30.0,50.0,-1.3393584655813915,1.3393584655813915
2.5,2.0,30.0,100.0,-1.3405620247464847,1.3405620247464847
2.5,2.0,45.0,20.0,-1.3393974791694356,1.3393974791694356
2.5,2.0,45.0,50.0,-1.3376636377814515,1.3376636377814515
2.5,2.0,45.0,100.0,-1.3390094454696906,1.3390094454696906
2.5,2.0,60.0,20.0,-1.3393375896966837,1.3393375896966837
2.5,2.0,60.0,50.0,-1.3378502149806215,1.3378502149806215
2.5,2.0,60.0,100.0,-1.3392456128112424,1.3392456128112424
2.5,2.0,90.0,20.0,-1.3467165878934895,1.3467165878934895
2.5,2.0,90.0,50.0,-1.3447029132983412,1.3447029132983412
2.5,2.0,90.0,100.0,-1.3458285887241652,1.3458285887241652
2.5,3.0,30.0,20.0,-1.3410202583209963,1.3410202583209963
2.5,3.0,30.0,50.0,-1.3420154454412645,1.3420154454412645
2.5,3.0,30.0,100.0,-1.3444211796316174,1.3444211796316174
2.5,3.0,45.0,20.0,-1.3398705760680272,1.3398705760680272
2.5,3.0,45.0,50.0,-1.3422405219303066,1.3422405219303066
2.5,3.0,45.0,100.0,-1.3450551422484494,1.3450551422484494
2.5,3.0,60.0,20.0,-1.3417183890406432,1.3417183890406432
2.5,3.0,60.0,50.0,-1.3447568128806977,1.3447568128806977
2.5,3.0,60.0,100.0,-1.347667264147281,1.347667264147281
2.5,3.0,90.0,20.0,-1.3540226039929404,1.3540226039929404
2.5,3.0,90.0,50.0,-1.3556795081764708,1.3556795081764708
2.5,3.0,90.0,100.0,-1.3579652713684358,1.3579652713684358
2.5,5.0,30.0,20.0,-1.347347572287735,1.347347572287735
2.5,5.0,30.0,50.0,-1.3554121712289404,1.3554121712289404
2.5,5.0,30.0,100.0,-1.3603630778758637,1.3603630778758637
2.5,5.0,45.0,20.0,-1.351344750458853,1.351344750458853
2.5,5.0,45.0,50.0,-1.362504564186353,1.362504564186353
2.5,5.0,45.0,100.0,-1.3682526359759573,1.3682526359759573
2.5,5.0,60.0,20.0,-1.3575675988816944,1.3575675988816944
2.5,5.0,60.0,50.0,-1.3692253373814622,1.3692253373814622
2.5,5.0,60.0,100.0,-1.374782943125298,1.374782943125298
2.5,5.0,90.0,20.0,-1.3725091904259725,1.3725091904259725
2.5,5.0,90.0,50.0,-1.3798683602745594,1.3798683602745594
2.5,5.0,90.0,100.0,-1.3838105262910643,1.3838105262910643
2.5,8.0,30.0,20.0,-1.3636284255422744,1.3636284255422744
2.5,8.0,30.0,50.0,-1.3810500056861463,1.3810500056861463
2.5,8.0,30.0,100.0,-1.3891262571760226,1.3891262571760226
2.5,8.0,45.0,20.0,-1.3766836083110296,1.3766836083110296
2.5,8.0,45.0,50.0,-1.3982081908998034,1.3982081908998034
2.5,8.0,45.0,100.0,-1.4071245236994325,1.4071245236994325
2.5,8.0,60.0,20.0,-1.38718252901721,1.38718252901721
2.5,8.0,60.0,50.0,-1.4071195277899713,1.4071195277899713
2.5,8.0,60.0,100.0,-1.4149343805032046,1.4149343805032046
2.5,8.0,90.0,20.0,-1.3968209562088203,1.3968209562088203
2.5,8.0,90.0,50.0,-1.4083034580973863,1.4083034580973863
2.5,8.0,90.0,100.0,-1.413305034068059,1.413305034068059
3.0,1.0,30.0,20.0,-1.3542868777838064,1.3542868777838064
3.0,1.0,30.0,50.0,-1.3458912585946239,1.3458912585946239
3.0,1.0,30.0,100.0,-1.3444668673604943,1.3444668673604943
3.0,1.0,45.0,20.0,-1.3542868777838064,1.3542868777838064
3.0,1.0,45.0,50.0,-1.3458912585946239,1.3458912585946239
3.0,1.0,45.0,100.0,-1.3444668673604943,1.3444668673604943
